id,sympy,natural_language
14201,"ForAll(y, Implies(V(y), And(P(y), R(y))))","For all y, if V(y) then P(y) and R(y)."
14202,"ForAll(y, Implies(And(S(y), P(y)), R(y)))","For all y, if S(y) and P(y) then R(y)."
14203,"ForAll(w, Implies(U(w), And(P(w), S(w))))","For all w, if U(w) then P(w) and S(w)."
14204,"ForAll(z, Implies(V(z), And(P(z), U(z))))","For all z, if V(z) then P(z) and U(z)."
14205,"Exists(w, Implies(T(w), ForAll(v, P(v))))","There exists w such that if T(w) then for all v, P(v)."
14206,"ForAll(x, Implies(And(S(x), P(x)), P(x)))","For all x, if S(x) and P(x) then P(x)."
14207,"ForAll(v, Implies(T(v), Or(T(v), Q(v))))","For all v, if T(v) then T(v) or Q(v)."
14208,"ForAll(y, Implies(R(y), Or(R(y), Q(y))))","For all y, if R(y) then R(y) or Q(y)."
14209,"ForAll(z, Implies(U(z), Or(R(z), U(z))))","For all z, if U(z) then R(z) or U(z)."
14210,"ForAll(y, Or(T(y), Exists(v, U(v))))","For all y, either T(y) or there exists v such that U(v)."
14211,"ForAll(x, Implies(V(x), And(S(x), T(x))))","For all x, if V(x) then S(x) and T(x)."
14212,"ForAll(w, Implies(And(Q(w), T(w)), Q(w)))","For all w, if Q(w) and T(w) then Q(w)."
14213,"ForAll(z, Implies(And(R(z), Q(z)), U(z)))","For all z, if R(z) and Q(z) then U(z)."
14214,"ForAll(z, Implies(And(S(z), Q(z)), P(z)))","For all z, if S(z) and Q(z) then P(z)."
14215,"ForAll(x, Or(V(x), Exists(w, S(w))))","For all x, either V(x) or there exists w such that S(w)."
14216,"Exists(y, Implies(P(y), ForAll(w, U(w))))","There exists y such that if P(y) then for all w, U(w)."
14217,"ForAll(y, Implies(Q(y), Or(T(y), S(y))))","For all y, if Q(y) then T(y) or S(y)."
14218,"ForAll(u, Implies(U(u), Or(P(u), P(u))))","For all u, if U(u) then P(u) or P(u)."
14219,"ForAll(v, Implies(U(v), And(R(v), U(v))))","For all v, if U(v) then R(v) and U(v)."
14220,"ForAll(w, Implies(P(w), And(Q(w), P(w))))","For all w, if P(w) then Q(w) and P(w)."
14221,"ForAll(u, Implies(Q(u), And(T(u), P(u))))","For all u, if Q(u) then T(u) and P(u)."
14222,"ForAll(w, Implies(S(w), And(U(w), V(w))))","For all w, if S(w) then U(w) and V(w)."
14223,"ForAll(w, Implies(P(w), And(Q(w), V(w))))","For all w, if P(w) then Q(w) and V(w)."
14224,"ForAll(y, Implies(And(V(y), R(y)), T(y)))","For all y, if V(y) and R(y) then T(y)."
14225,"ForAll(y, Implies(U(y), And(P(y), U(y))))","For all y, if U(y) then P(y) and U(y)."
14226,"ForAll(v, Implies(And(U(v), P(v)), V(v)))","For all v, if U(v) and P(v) then V(v)."
14227,"ForAll(y, Or(R(y), Exists(u, T(u))))","For all y, either R(y) or there exists u such that T(u)."
14228,"ForAll(x, Implies(U(x), Exists(z, N(x,z))))","For all x, if U(x) then there exists z such that N(x,z)."
14229,"ForAll(z, Implies(And(S(z), P(z)), V(z)))","For all z, if S(z) and P(z) then V(z)."
14230,"ForAll(u, Implies(Q(u), Or(U(u), S(u))))","For all u, if Q(u) then U(u) or S(u)."
14231,"ForAll(y, Or(V(y), Exists(w, V(w))))","For all y, either V(y) or there exists w such that V(w)."
14232,"ForAll(z, Implies(And(R(z), V(z)), S(z)))","For all z, if R(z) and V(z) then S(z)."
14233,"ForAll(z, Implies(V(z), Or(T(z), T(z))))","For all z, if V(z) then T(z) or T(z)."
14234,"ForAll(x, Implies(P(x), Or(V(x), R(x))))","For all x, if P(x) then V(x) or R(x)."
14235,"Exists(z, Implies(V(z), ForAll(w, U(w))))","There exists z such that if V(z) then for all w, U(w)."
14236,"ForAll(y, Implies(And(P(y), U(y)), R(y)))","For all y, if P(y) and U(y) then R(y)."
14237,"ForAll(x, Implies(R(x), And(U(x), V(x))))","For all x, if R(x) then U(x) and V(x)."
14238,"ForAll(x, Or(T(x), Exists(v, R(v))))","For all x, either T(x) or there exists v such that R(v)."
14239,"ForAll(v, Implies(And(P(v), R(v)), R(v)))","For all v, if P(v) and R(v) then R(v)."
14240,"ForAll(z, Implies(V(z), Or(P(z), U(z))))","For all z, if V(z) then P(z) or U(z)."
14241,"ForAll(u, Or(V(u), Exists(w, R(w))))","For all u, either V(u) or there exists w such that R(w)."
14242,"ForAll(w, Or(P(w), Exists(y, T(y))))","For all w, either P(w) or there exists y such that T(y)."
14243,"ForAll(z, Implies(S(z), Or(P(z), T(z))))","For all z, if S(z) then P(z) or T(z)."
14244,"ForAll(y, Implies(And(P(y), S(y)), S(y)))","For all y, if P(y) and S(y) then S(y)."
14245,"ForAll(y, Implies(U(y), Or(U(y), V(y))))","For all y, if U(y) then U(y) or V(y)."
14246,"ForAll(z, Implies(And(R(z), Q(z)), T(z)))","For all z, if R(z) and Q(z) then T(z)."
14247,"Exists(w, Implies(U(w), ForAll(y, R(y))))","There exists w such that if U(w) then for all y, R(y)."
14248,"ForAll(z, Implies(R(z), And(Q(z), T(z))))","For all z, if R(z) then Q(z) and T(z)."
14249,"Exists(w, Implies(V(w), ForAll(x, R(x))))","There exists w such that if V(w) then for all x, R(x)."
14250,"ForAll(u, Implies(U(u), And(V(u), S(u))))","For all u, if U(u) then V(u) and S(u)."
14251,"ForAll(y, Implies(S(y), Or(U(y), R(y))))","For all y, if S(y) then U(y) or R(y)."
14252,"ForAll(u, Implies(And(Q(u), R(u)), U(u)))","For all u, if Q(u) and R(u) then U(u)."
14253,"ForAll(y, Implies(Q(y), And(S(y), T(y))))","For all y, if Q(y) then S(y) and T(y)."
14254,"ForAll(u, Implies(Q(u), Or(T(u), V(u))))","For all u, if Q(u) then T(u) or V(u)."
14255,"ForAll(z, Implies(And(U(z), R(z)), P(z)))","For all z, if U(z) and R(z) then P(z)."
14256,"Exists(w, Exists(v, And(O(w,v), V(w))))","There exist w and v such that O(w,v) and V(w)."
14257,"Exists(v, Implies(R(v), ForAll(x, R(x))))","There exists v such that if R(v) then for all x, R(x)."
14258,"ForAll(z, Implies(And(U(z), R(z)), Q(z)))","For all z, if U(z) and R(z) then Q(z)."
14259,"ForAll(v, Or(U(v), Exists(z, R(z))))","For all v, either U(v) or there exists z such that R(z)."
14260,"ForAll(z, Implies(Exists(u, O(z,u)), R(z)))","For all z, if there exists u with O(z,u) then R(z)."
14261,"ForAll(w, Implies(And(T(w), R(w)), Q(w)))","For all w, if T(w) and R(w) then Q(w)."
14262,"ForAll(u, Implies(P(u), Or(Q(u), U(u))))","For all u, if P(u) then Q(u) or U(u)."
14263,"ForAll(x, Implies(And(R(x), T(x)), V(x)))","For all x, if R(x) and T(x) then V(x)."
14264,"Exists(u, Exists(z, And(L(u,z), S(u))))","There exist u and z such that L(u,z) and S(u)."
14265,"Exists(x, And(Not(T(x)), Exists(z, L(x,z))))","There exists x such that not T(x) and there exists z with L(x,z)."
14266,"ForAll(w, Implies(And(R(w), T(w)), T(w)))","For all w, if R(w) and T(w) then T(w)."
14267,"ForAll(v, Implies(P(v), Or(S(v), U(v))))","For all v, if P(v) then S(v) or U(v)."
14268,"ForAll(z, Or(P(z), Exists(v, R(v))))","For all z, either P(z) or there exists v such that R(v)."
14269,"ForAll(u, Implies(And(U(u), R(u)), Q(u)))","For all u, if U(u) and R(u) then Q(u)."
14270,"ForAll(u, Or(R(u), Exists(x, T(x))))","For all u, either R(u) or there exists x such that T(x)."
14271,"ForAll(z, Implies(V(z), Exists(y, O(z,y))))","For all z, if V(z) then there exists y such that O(z,y)."
14272,"ForAll(y, Implies(T(y), Or(Q(y), V(y))))","For all y, if T(y) then Q(y) or V(y)."
14273,"ForAll(w, Implies(And(U(w), P(w)), V(w)))","For all w, if U(w) and P(w) then V(w)."
14274,"ForAll(z, Implies(And(S(z), V(z)), R(z)))","For all z, if S(z) and V(z) then R(z)."
14275,"ForAll(v, Implies(S(v), And(T(v), V(v))))","For all v, if S(v) then T(v) and V(v)."
14276,"ForAll(v, Implies(And(U(v), P(v)), U(v)))","For all v, if U(v) and P(v) then U(v)."
14277,"ForAll(v, Implies(And(S(v), T(v)), S(v)))","For all v, if S(v) and T(v) then S(v)."
14278,"ForAll(w, Implies(V(w), Or(Q(w), S(w))))","For all w, if V(w) then Q(w) or S(w)."
14279,"ForAll(z, Implies(And(S(z), V(z)), V(z)))","For all z, if S(z) and V(z) then V(z)."
14280,"ForAll(z, Implies(And(U(z), V(z)), P(z)))","For all z, if U(z) and V(z) then P(z)."
14281,"ForAll(y, Implies(T(y), And(Q(y), U(y))))","For all y, if T(y) then Q(y) and U(y)."
14282,"ForAll(y, Or(U(y), Exists(x, U(x))))","For all y, either U(y) or there exists x such that U(x)."
14283,"ForAll(w, Implies(S(w), Or(P(w), T(w))))","For all w, if S(w) then P(w) or T(w)."
14284,"ForAll(z, Implies(V(z), And(R(z), S(z))))","For all z, if V(z) then R(z) and S(z)."
14285,"ForAll(x, Implies(R(x), And(S(x), T(x))))","For all x, if R(x) then S(x) and T(x)."
14286,"ForAll(z, Implies(And(R(z), P(z)), U(z)))","For all z, if R(z) and P(z) then U(z)."
14287,"ForAll(v, Or(T(v), Exists(w, U(w))))","For all v, either T(v) or there exists w such that U(w)."
14288,"Exists(y, And(Not(P(y)), Exists(u, L(y,u))))","There exists y such that not P(y) and there exists u with L(y,u)."
14289,"ForAll(z, Or(S(z), Exists(w, V(w))))","For all z, either S(z) or there exists w such that V(w)."
14290,"ForAll(x, Implies(Q(x), And(V(x), S(x))))","For all x, if Q(x) then V(x) and S(x)."
14291,"ForAll(y, Implies(R(y), Or(V(y), V(y))))","For all y, if R(y) then V(y) or V(y)."
14292,"ForAll(x, Implies(And(S(x), V(x)), T(x)))","For all x, if S(x) and V(x) then T(x)."
14293,"Exists(z, Implies(Q(z), ForAll(v, U(v))))","There exists z such that if Q(z) then for all v, U(v)."
14294,"Exists(w, Implies(Q(w), ForAll(u, T(u))))","There exists w such that if Q(w) then for all u, T(u)."
14295,"ForAll(w, Or(P(w), Exists(z, T(z))))","For all w, either P(w) or there exists z such that T(z)."
14296,"ForAll(u, Implies(T(u), Or(V(u), R(u))))","For all u, if T(u) then V(u) or R(u)."
14297,"ForAll(z, Implies(U(z), And(U(z), S(z))))","For all z, if U(z) then U(z) and S(z)."
14298,"ForAll(v, Implies(And(T(v), T(v)), U(v)))","For all v, if T(v) and T(v) then U(v)."
14299,"Exists(u, Implies(S(u), ForAll(x, V(x))))","There exists u such that if S(u) then for all x, V(x)."
14300,"ForAll(u, Implies(U(u), And(T(u), R(u))))","For all u, if U(u) then T(u) and R(u)."
14301,"ForAll(v, Implies(P(v), And(R(v), S(v))))","For all v, if P(v) then R(v) and S(v)."
14302,"ForAll(z, Implies(T(z), And(R(z), T(z))))","For all z, if T(z) then R(z) and T(z)."
14303,"Exists(w, Exists(z, And(M(w,z), P(w))))","There exist w and z such that M(w,z) and P(w)."
14304,"ForAll(v, Implies(V(v), And(R(v), S(v))))","For all v, if V(v) then R(v) and S(v)."
14305,"ForAll(w, Implies(And(R(w), U(w)), U(w)))","For all w, if R(w) and U(w) then U(w)."
14306,"ForAll(w, Implies(T(w), Or(T(w), S(w))))","For all w, if T(w) then T(w) or S(w)."
14307,"ForAll(y, Or(V(y), Exists(v, T(v))))","For all y, either V(y) or there exists v such that T(v)."
14308,"ForAll(x, Implies(And(T(x), T(x)), R(x)))","For all x, if T(x) and T(x) then R(x)."
14309,"ForAll(v, Implies(R(v), And(P(v), U(v))))","For all v, if R(v) then P(v) and U(v)."
14310,"ForAll(u, Implies(Q(u), Or(P(u), T(u))))","For all u, if Q(u) then P(u) or T(u)."
14311,"ForAll(x, Implies(S(x), And(V(x), P(x))))","For all x, if S(x) then V(x) and P(x)."
14312,"ForAll(v, Or(P(v), Exists(w, Q(w))))","For all v, either P(v) or there exists w such that Q(w)."
14313,"Exists(x, Implies(R(x), ForAll(u, V(u))))","There exists x such that if R(x) then for all u, V(u)."
14314,"Exists(u, Implies(T(u), ForAll(v, V(v))))","There exists u such that if T(u) then for all v, V(v)."
14315,"Exists(u, Exists(v, And(N(u,v), S(u))))","There exist u and v such that N(u,v) and S(u)."
14316,"ForAll(x, Implies(U(x), And(S(x), U(x))))","For all x, if U(x) then S(x) and U(x)."
14317,"ForAll(v, Implies(R(v), Exists(w, L(v,w))))","For all v, if R(v) then there exists w such that L(v,w)."
14318,"ForAll(w, Or(P(w), Exists(z, Q(z))))","For all w, either P(w) or there exists z such that Q(z)."
14319,"ForAll(u, Implies(And(S(u), R(u)), P(u)))","For all u, if S(u) and R(u) then P(u)."
14320,"ForAll(w, Implies(And(U(w), R(w)), Q(w)))","For all w, if U(w) and R(w) then Q(w)."
14321,"ForAll(x, Implies(T(x), Or(Q(x), P(x))))","For all x, if T(x) then Q(x) or P(x)."
14322,"ForAll(w, Implies(S(w), And(V(w), R(w))))","For all w, if S(w) then V(w) and R(w)."
14323,"Exists(v, ForAll(y, Implies(L(v,y), R(y))))","There exists v such that for all y, if L(v,y) then R(y)."
14324,"Exists(u, ForAll(x, Implies(O(u,x), P(x))))","There exists u such that for all x, if O(u,x) then P(x)."
14325,"ForAll(x, Implies(S(x), Exists(w, O(x,w))))","For all x, if S(x) then there exists w such that O(x,w)."
14326,"Exists(y, Exists(v, And(O(y,v), S(y))))","There exist y and v such that O(y,v) and S(y)."
14327,"ForAll(u, Implies(U(u), And(P(u), T(u))))","For all u, if U(u) then P(u) and T(u)."
14328,"ForAll(w, Implies(P(w), And(P(w), T(w))))","For all w, if P(w) then P(w) and T(w)."
14329,"ForAll(z, Implies(T(z), And(U(z), T(z))))","For all z, if T(z) then U(z) and T(z)."
14330,"Exists(x, ForAll(u, Equivalent(P(x), M(x,u))))","There exists x such that for all u, P(x) iff M(x,u)."
14331,"ForAll(w, Or(T(w), Exists(x, P(x))))","For all w, either T(w) or there exists x such that P(x)."
14332,"ForAll(v, Implies(U(v), And(Q(v), Q(v))))","For all v, if U(v) then Q(v) and Q(v)."
14333,"ForAll(y, Implies(S(y), And(R(y), R(y))))","For all y, if S(y) then R(y) and R(y)."
14334,"Exists(x, Implies(Q(x), ForAll(u, Q(u))))","There exists x such that if Q(x) then for all u, Q(u)."
14335,"ForAll(w, Implies(V(w), Exists(v, O(w,v))))","For all w, if V(w) then there exists v such that O(w,v)."
14336,"Exists(v, Implies(R(v), ForAll(y, P(y))))","There exists v such that if R(v) then for all y, P(y)."
14337,"ForAll(w, Implies(And(V(w), P(w)), V(w)))","For all w, if V(w) and P(w) then V(w)."
14338,"ForAll(x, Implies(S(x), And(R(x), U(x))))","For all x, if S(x) then R(x) and U(x)."
14339,"Exists(x, Implies(Q(x), ForAll(y, T(y))))","There exists x such that if Q(x) then for all y, T(y)."
14340,"ForAll(y, Implies(Q(y), And(R(y), T(y))))","For all y, if Q(y) then R(y) and T(y)."
14341,"ForAll(x, Implies(T(x), Or(Q(x), T(x))))","For all x, if T(x) then Q(x) or T(x)."
14342,"ForAll(y, Implies(Q(y), Or(U(y), V(y))))","For all y, if Q(y) then U(y) or V(y)."
14343,"Exists(x, Implies(V(x), ForAll(v, Q(v))))","There exists x such that if V(x) then for all v, Q(v)."
14344,"Exists(v, Implies(P(v), ForAll(w, P(w))))","There exists v such that if P(v) then for all w, P(w)."
14345,"ForAll(z, Or(P(z), Exists(x, P(x))))","For all z, either P(z) or there exists x such that P(x)."
14346,"Exists(x, Implies(U(x), ForAll(w, R(w))))","There exists x such that if U(x) then for all w, R(w)."
14347,"ForAll(w, Implies(And(S(w), Q(w)), T(w)))","For all w, if S(w) and Q(w) then T(w)."
14348,"ForAll(y, Implies(S(y), Or(V(y), U(y))))","For all y, if S(y) then V(y) or U(y)."
14349,"Exists(y, Implies(T(y), ForAll(w, P(w))))","There exists y such that if T(y) then for all w, P(w)."
14350,"ForAll(y, Implies(V(y), Or(Q(y), T(y))))","For all y, if V(y) then Q(y) or T(y)."
14351,"Exists(z, ForAll(w, Implies(N(z,w), S(w))))","There exists z such that for all w, if N(z,w) then S(w)."
14352,"ForAll(x, Implies(Q(x), And(U(x), V(x))))","For all x, if Q(x) then U(x) and V(x)."
14353,"ForAll(u, Or(V(u), Exists(x, P(x))))","For all u, either V(u) or there exists x such that P(x)."
14354,"ForAll(x, Implies(P(x), Or(P(x), U(x))))","For all x, if P(x) then P(x) or U(x)."
14355,"ForAll(u, Implies(And(U(u), U(u)), R(u)))","For all u, if U(u) and U(u) then R(u)."
14356,"ForAll(z, Implies(S(z), And(V(z), T(z))))","For all z, if S(z) then V(z) and T(z)."
14357,"Exists(u, Implies(T(u), ForAll(x, R(x))))","There exists u such that if T(u) then for all x, R(x)."
14358,"ForAll(v, Implies(Q(v), And(V(v), P(v))))","For all v, if Q(v) then V(v) and P(v)."
14359,"ForAll(z, Implies(S(z), And(R(z), S(z))))","For all z, if S(z) then R(z) and S(z)."
14360,"ForAll(x, Implies(And(Q(x), V(x)), Q(x)))","For all x, if Q(x) and V(x) then Q(x)."
14361,"Exists(w, Exists(u, And(O(w,u), T(w))))","There exist w and u such that O(w,u) and T(w)."
14362,"Exists(z, ForAll(v, Implies(M(z,v), T(v))))","There exists z such that for all v, if M(z,v) then T(v)."
14363,"ForAll(y, Implies(Q(y), And(S(y), S(y))))","For all y, if Q(y) then S(y) and S(y)."
14364,"ForAll(w, Implies(S(w), Or(R(w), V(w))))","For all w, if S(w) then R(w) or V(w)."
14365,"ForAll(w, Implies(P(w), And(P(w), Q(w))))","For all w, if P(w) then P(w) and Q(w)."
14366,"ForAll(w, Implies(Q(w), Or(S(w), R(w))))","For all w, if Q(w) then S(w) or R(w)."
14367,"ForAll(z, Implies(Q(z), Exists(x, N(z,x))))","For all z, if Q(z) then there exists x such that N(z,x)."
14368,"ForAll(u, Implies(U(u), And(P(u), U(u))))","For all u, if U(u) then P(u) and U(u)."
14369,"ForAll(z, Implies(S(z), And(V(z), U(z))))","For all z, if S(z) then V(z) and U(z)."
14370,"ForAll(z, Implies(T(z), And(S(z), Q(z))))","For all z, if T(z) then S(z) and Q(z)."
14371,"ForAll(u, Implies(S(u), And(U(u), V(u))))","For all u, if S(u) then U(u) and V(u)."
14372,"ForAll(w, Implies(And(T(w), P(w)), S(w)))","For all w, if T(w) and P(w) then S(w)."
14373,"ForAll(v, Implies(Q(v), And(V(v), T(v))))","For all v, if Q(v) then V(v) and T(v)."
14374,"ForAll(x, Implies(And(R(x), P(x)), Q(x)))","For all x, if R(x) and P(x) then Q(x)."
14375,"ForAll(v, Implies(U(v), And(P(v), U(v))))","For all v, if U(v) then P(v) and U(v)."
14376,"ForAll(y, Implies(R(y), And(R(y), Q(y))))","For all y, if R(y) then R(y) and Q(y)."
14377,"ForAll(v, Implies(R(v), And(Q(v), S(v))))","For all v, if R(v) then Q(v) and S(v)."
14378,"ForAll(u, Implies(And(S(u), R(u)), V(u)))","For all u, if S(u) and R(u) then V(u)."
14379,"ForAll(y, Implies(V(y), Or(S(y), R(y))))","For all y, if V(y) then S(y) or R(y)."
14380,"ForAll(y, Implies(V(y), And(Q(y), S(y))))","For all y, if V(y) then Q(y) and S(y)."
14381,"ForAll(y, Implies(T(y), And(Q(y), P(y))))","For all y, if T(y) then Q(y) and P(y)."
14382,"ForAll(z, Implies(And(U(z), P(z)), Q(z)))","For all z, if U(z) and P(z) then Q(z)."
14383,"ForAll(z, Implies(S(z), Or(S(z), S(z))))","For all z, if S(z) then S(z) or S(z)."
14384,"ForAll(v, Or(S(v), Exists(x, P(x))))","For all v, either S(v) or there exists x such that P(x)."
14385,"ForAll(z, Implies(S(z), Exists(v, N(z,v))))","For all z, if S(z) then there exists v such that N(z,v)."
14386,"ForAll(x, Implies(T(x), And(P(x), T(x))))","For all x, if T(x) then P(x) and T(x)."
14387,"ForAll(y, Implies(And(S(y), U(y)), T(y)))","For all y, if S(y) and U(y) then T(y)."
14388,"ForAll(w, Implies(And(R(w), P(w)), T(w)))","For all w, if R(w) and P(w) then T(w)."
14389,"ForAll(w, Implies(And(T(w), T(w)), Q(w)))","For all w, if T(w) and T(w) then Q(w)."
14390,"ForAll(x, Implies(And(V(x), U(x)), U(x)))","For all x, if V(x) and U(x) then U(x)."
14391,"ForAll(x, Implies(S(x), And(Q(x), U(x))))","For all x, if S(x) then Q(x) and U(x)."
14392,"Exists(v, Implies(U(v), ForAll(y, V(y))))","There exists v such that if U(v) then for all y, V(y)."
14393,"ForAll(y, Implies(T(y), Or(Q(y), T(y))))","For all y, if T(y) then Q(y) or T(y)."
14394,"Exists(v, Implies(S(v), ForAll(z, R(z))))","There exists v such that if S(v) then for all z, R(z)."
14395,"ForAll(y, Implies(And(V(y), R(y)), U(y)))","For all y, if V(y) and R(y) then U(y)."
14396,"Exists(y, Implies(T(y), ForAll(v, V(v))))","There exists y such that if T(y) then for all v, V(v)."
14397,"ForAll(v, Implies(Q(v), Or(P(v), V(v))))","For all v, if Q(v) then P(v) or V(v)."
14398,"ForAll(v, Implies(U(v), And(P(v), Q(v))))","For all v, if U(v) then P(v) and Q(v)."
14399,"ForAll(z, Implies(And(S(z), P(z)), S(z)))","For all z, if S(z) and P(z) then S(z)."
14400,"ForAll(z, Or(R(z), Exists(y, T(y))))","For all z, either R(z) or there exists y such that T(y)."
14401,"Exists(x, Implies(U(x), ForAll(v, T(v))))","There exists x such that if U(x) then for all v, T(v)."
14402,"ForAll(v, Implies(V(v), Or(V(v), Q(v))))","For all v, if V(v) then V(v) or Q(v)."
14403,"ForAll(w, Implies(And(S(w), R(w)), Q(w)))","For all w, if S(w) and R(w) then Q(w)."
14404,"ForAll(z, Implies(And(U(z), S(z)), P(z)))","For all z, if U(z) and S(z) then P(z)."
14405,"ForAll(v, Implies(T(v), Or(Q(v), Q(v))))","For all v, if T(v) then Q(v) or Q(v)."
14406,"ForAll(u, Or(P(u), Exists(w, R(w))))","For all u, either P(u) or there exists w such that R(w)."
14407,"ForAll(v, Implies(And(P(v), T(v)), R(v)))","For all v, if P(v) and T(v) then R(v)."
14408,"ForAll(u, Or(Q(u), Exists(v, R(v))))","For all u, either Q(u) or there exists v such that R(v)."
14409,"ForAll(u, Implies(P(u), Or(T(u), R(u))))","For all u, if P(u) then T(u) or R(u)."
