expression,english_description
(∃w (Student(w) ∧ Cat(g(v))) ∨ Even(c)),There exists w such that w is a student and g(v) is a cat or c is even
∃w (Human(w) ∧ ¬∃z (Animal(z) ∧ Odd(g(h(x))))),There exists w such that w is a human and It is not the case that There exists z such that z is an animal and g(h(x)) is odd
"∀x (Cat(x) → ((Member(y,y) ∧ Likes(b,a)) → ¬Less(x,v)))","For every x, if x is a cat, then if y is a member of y and b likes a, then It is not the case that x is less than v"
∀z u = u,"For every z, u equals u"
"∀w (∀w (Even(w) → ParentOf(g(y),y)) → ¬b = c)","For every w, if For every w, if w is even, then g(y) is a parent of y, then It is not the case that b equals c"
"(∀v (Mortal(v) → (Odd(h(u)) ∨ Cat(0))) ↔ Friend(b,g(z)))","For every v, if v is mortal, then h(u) is odd or 0 is a cat if and only if b is a friend of g(z)"
"¬(Likes(h(x),z) ∧ (Mortal(0) → Mortal(g(h(y)))))","It is not the case that h(x) likes z and if 0 is mortal, then g(h(y)) is mortal"
((0 = y ↔ (Mortal(v) → Even(y))) ∨ ((Dog(f(y)) ↔ Even(f(z))) ∨ Animal(h(v)))),"0 equals y if and only if if v is mortal, then y is even or f(y) is a dog if and only if f(z) is even or h(v) is an animal"
(y = c ∧ ∀x Even(x)),"Y equals c and For every x, x is even"
"Loves(f(x),v)",F(x) loves v
¬(Mortal(z) → Odd(z)),"It is not the case that if z is mortal, then z is odd"
x = f(v),X equals f(v)
"∃u ∀z (Animal(z) → (Subset(f(u),v) ↔ Subset(2,a)))","There exists u, For every z, if z is an animal, then f(u) is a subset of v if and only if 2 is a subset of a"
"(Less(f(y),v) → (¬Animal(1) ↔ Mortal(0)))","If f(y) is less than v, then It is not the case that 1 is an animal if and only if 0 is mortal"
"(∀x Subset(g(z),g(2)) ↔ Mortal(u))","For every x, g(z) is a subset of g(2) if and only if u is mortal"
"(Equal(b,f(v)) ∨ ∀v (Dog(f(w)) ∧ ParentOf(w,z)))","B is equal to f(v) or For every v, f(w) is a dog and w is a parent of z"
"Greater(g(0),h(x))",G(0) is greater than h(x)
(∃y (Cat(y) ∧ ∀y 2 = z) ∨ Human(z)),"There exists y such that y is a cat and For every y, 2 equals z or z is a human"
"Greater(g(y),f(y))",G(y) is greater than f(y)
"((Equal(z,z) ∨ (ParentOf(f(f(u)),2) ↔ u = y)) ∧ Dog(w))",Z is equal to z or f(f(u)) is a parent of 2 if and only if u equals y and w is a dog
"(Likes(h(x),2) ↔ Likes(u,h(y)))",H(x) likes 2 if and only if u likes h(y)
∀v (Human(v) → (∀w (Even(w) → Odd(z)) ∨ ¬0 = f(v))),"For every v, if v is a human, then For every w, if w is even, then z is odd or It is not the case that 0 equals f(v)"
"∃u Greater(x,x)","There exists u, x is greater than x"
"(Loves(f(x),0) ∧ ∃x ∃z (Animal(z) ∧ Cat(v)))","F(x) loves 0 and There exists x, There exists z such that z is an animal and v is a cat"
"Greater(u,a)",U is greater than a
(Prime(a) ∨ Mortal(0)),A is prime or 0 is mortal
"∃v Greater(w,y)","There exists v, w is greater than y"
"¬∃x (Student(x) ∧ (Prime(x) ∨ ParentOf(h(a),b)))",It is not the case that There exists x such that x is a student and x is prime or h(a) is a parent of b
(Prime(v) ↔ (∀y Odd(w) ∧ Even(z))),"V is prime if and only if For every y, w is odd and z is even"
"∃z (Human(z) ∧ ¬(Dog(c) ∨ ParentOf(a,g(v))))",There exists z such that z is a human and It is not the case that c is a dog or a is a parent of g(v)
"¬Member(f(z),w)",It is not the case that f(z) is a member of w
"(Member(a,f(v)) ∨ Dog(w))",A is a member of f(v) or w is a dog
"(((Mortal(x) ∧ Member(v,b)) ↔ (Prime(g(z)) ∧ Dog(v))) ∧ ∀y (Prime(y) → y = v))","X is mortal and v is a member of b if and only if g(z) is prime and v is a dog and For every y, if y is prime, then y equals v"
"(¬(Subset(v,u) ∧ Friend(g(g(x)),f(u))) → Dog(g(g(u))))","If It is not the case that v is a subset of u and g(g(x)) is a friend of f(u), then g(g(u)) is a dog"
(Prime(b) ∧ ∃z (Dog(z) ∧ Dog(2))),B is prime and There exists z such that z is a dog and 2 is a dog
"∃z (Dog(z) ∧ ParentOf(w,z))",There exists z such that z is a dog and w is a parent of z
"(∃z Prime(a) ∧ ((Less(h(x),h(y)) ↔ Less(f(f(u)),u)) → ¬Mortal(v)))","There exists z, a is prime and if h(x) is less than h(y) if and only if f(f(u)) is less than u, then It is not the case that v is mortal"
∃x ∃x (Even(x) ∧ ¬Animal(v)),"There exists x, There exists x such that x is even and It is not the case that v is an animal"
¬∃z ¬Dog(u),"It is not the case that There exists z, It is not the case that u is a dog"
f(u) = 0,F(u) equals 0
∀v (Dog(v) → ¬x = f(x)),"For every v, if v is a dog, then It is not the case that x equals f(x)"
∀u (Animal(u) → Even(y)),"For every u, if u is an animal, then y is even"
"¬∃x (Equal(v,a) → Equal(a,g(y)))","It is not the case that There exists x, if v is equal to a, then a is equal to g(y)"
"∀y (Even(y) → ∀z (Professor(z) → Friend(b,u)))","For every y, if y is even, then For every z, if z is a professor, then b is a friend of u"
"(Equal(z,2) ∧ (ParentOf(y,v) → ¬Odd(g(1))))","Z is equal to 2 and if y is a parent of v, then It is not the case that g(1) is odd"
"∀u ∀v (Cat(v) → ¬Friend(h(x),u))","For every u, For every v, if v is a cat, then It is not the case that h(x) is a friend of u"
∃v (Student(v) ∧ Animal(y)),There exists v such that v is a student and y is an animal
"((Less(z,a) ∨ Likes(f(a),g(y))) ∨ ¬(Even(v) ∧ Less(v,x)))",Z is less than a or f(a) likes g(y) or It is not the case that v is even and v is less than x
"∃v (Dog(v) ∧ ∃u (Cat(w) ↔ Member(v,g(f(w)))))","There exists v such that v is a dog and There exists u, w is a cat if and only if v is a member of g(f(w))"
"¬(∃v Less(w,b) ↔ ∃u (Student(u) ∧ Human(a)))","It is not the case that There exists v, w is less than b if and only if There exists u such that u is a student and a is a human"
"(((Odd(v) ∨ g(u) = y) ∧ (Odd(b) ∧ v = f(v))) → ¬∃z (Mortal(z) ∧ Member(f(u),v)))","If v is odd or g(u) equals y and b is odd and v equals f(v), then It is not the case that There exists z such that z is mortal and f(u) is a member of v"
"(∀y (Even(y) → Less(w,1)) ↔ Knows(b,g(w)))","For every y, if y is even, then w is less than 1 if and only if b knows g(w)"
"Likes(v,h(x))",V likes h(x)
"¬∃w (Professor(w) ∧ (Likes(x,a) ∧ a = v))",It is not the case that There exists w such that w is a professor and x likes a and a equals v
"(∃u (Mortal(u) ∧ ¬Member(w,f(u))) → ∃u (Mortal(u) ∧ (2 = h(v) → Loves(x,v))))","If There exists u such that u is mortal and It is not the case that w is a member of f(u), then There exists u such that u is mortal and if 2 equals h(v), then x loves v"
"∀x (Cat(x) → ¬(Less(b,v) ∧ w = v))","For every x, if x is a cat, then It is not the case that b is less than v and w equals v"
"∃w (Professor(w) ∧ ParentOf(v,h(w)))",There exists w such that w is a professor and v is a parent of h(w)
"∃w (Student(w) ∧ (Equal(u,g(u)) ↔ ∃z Greater(y,v)))","There exists w such that w is a student and u is equal to g(u) if and only if There exists z, y is greater than v"
¬∃z (h(v) = h(u) ∧ Prime(y)),"It is not the case that There exists z, h(v) equals h(u) and y is prime"
"((w = x → ∀v (Even(v) → u = f(v))) ∧ ParentOf(u,h(h(g(z)))))","If w equals x, then For every v, if v is even, then u equals f(v) and u is a parent of h(h(g(z)))"
"(ParentOf(h(y),f(z)) ∧ ∀v (Mortal(v) → ∃x (Even(x) ∧ Greater(v,f(c)))))","H(y) is a parent of f(z) and For every v, if v is mortal, then There exists x such that x is even and v is greater than f(c)"
∀x Student(b),"For every x, b is a student"
"∀x ∃x (Student(x) ∧ Loves(w,1))","For every x, There exists x such that x is a student and w loves 1"
∀z (Student(z) → (∀u Dog(x) ∧ 2 = z)),"For every z, if z is a student, then For every u, x is a dog and 2 equals z"
¬Professor(b),It is not the case that b is a professor
¬(¬v = z ↔ ¬w = x),It is not the case that It is not the case that v equals z if and only if It is not the case that w equals x
"ParentOf(h(u),x)",H(u) is a parent of x
f(f(b)) = z,F(f(b)) equals z
"¬¬Likes(0,1)",It is not the case that It is not the case that 0 likes 1
"∃w (Prime(w) ∧ (Member(z,0) → ParentOf(x,c)))","There exists w such that w is prime and if z is a member of 0, then x is a parent of c"
"¬¬¬Friend(w,0)",It is not the case that It is not the case that It is not the case that w is a friend of 0
"∃z ∃y ∃z (Dog(z) ∧ Less(u,f(c)))","There exists z, There exists y, There exists z such that z is a dog and u is less than f(c)"
"(∃u (Dog(u) ∧ ∀w Member(1,w)) ∨ ∃z (Even(z) ∧ ∃z (Prime(z) ∧ v = f(f(a)))))","There exists u such that u is a dog and For every w, 1 is a member of w or There exists z such that z is even and There exists z such that z is prime and v equals f(f(a))"
"Likes(f(z),1)",F(z) likes 1
¬∀u (Animal(u) → ¬v = a),"It is not the case that For every u, if u is an animal, then It is not the case that v equals a"
"(∀v (Odd(v) → (Loves(h(z),a) ↔ Animal(u))) ↔ ¬w = 0)","For every v, if v is odd, then h(z) loves a if and only if u is an animal if and only if It is not the case that w equals 0"
"Member(1,g(z))",1 is a member of g(z)
∀u y = f(x),"For every u, y equals f(x)"
∀y (Student(y) → ∀u g(h(w)) = z),"For every y, if y is a student, then For every u, g(h(w)) equals z"
"∀u ∃x (Animal(x) ∧ ¬ParentOf(h(b),z))","For every u, There exists x such that x is an animal and It is not the case that h(b) is a parent of z"
"(ParentOf(y,b) ↔ (Greater(a,f(v)) ∨ (Mortal(z) ↔ v = z)))",Y is a parent of b if and only if a is greater than f(v) or z is mortal if and only if v equals z
"Less(u,g(u))",U is less than g(u)
∃z (Student(z) ∧ Mortal(0)),There exists z such that z is a student and 0 is mortal
"((∃w (Dog(w) ∧ 0 = f(u)) ∧ Knows(c,w)) ↔ y = h(w))",There exists w such that w is a dog and 0 equals f(u) and c knows w if and only if y equals h(w)
"∃z ∀v (Mortal(v) → ¬ParentOf(v,c))","There exists z, For every v, if v is mortal, then It is not the case that v is a parent of c"
"(∀y (Mortal(y) → ∃w (Professor(w) ∧ Likes(y,v))) ∨ ¬v = g(g(u)))","For every y, if y is mortal, then There exists w such that w is a professor and y likes v or It is not the case that v equals g(g(u))"
"∀w (Human(w) → Equal(0,x))","For every w, if w is a human, then 0 is equal to x"
"(¬(Loves(y,x) ∧ Dog(z)) ∨ ∀y (Professor(y) → ∀y (Cat(y) → Odd(a))))","It is not the case that y loves x and z is a dog or For every y, if y is a professor, then For every y, if y is a cat, then a is odd"
(Odd(c) ↔ ∃u (y = z ↔ Mortal(y))),"C is odd if and only if There exists u, y equals z if and only if y is mortal"
¬∀y (Professor(y) → ∀v (Student(v) → Cat(y))),"It is not the case that For every y, if y is a professor, then For every v, if v is a student, then y is a cat"
"(¬¬u = y ∧ ∃y (Dog(u) → Knows(2,0)))","It is not the case that It is not the case that u equals y and There exists y, if u is a dog, then 2 knows 0"
"∃z (Animal(z) ∧ Friend(y,z))",There exists z such that z is an animal and y is a friend of z
"∀v (Professor(v) → (Friend(y,z) → (Knows(h(v),v) → Mortal(g(w)))))","For every v, if v is a professor, then if y is a friend of z, then if h(v) knows v, then g(w) is mortal"
"∀x (Odd(x) → (¬Cat(b) ∧ (Likes(y,c) → Professor(c))))","For every x, if x is odd, then It is not the case that b is a cat and if y likes c, then c is a professor"
"¬¬¬Less(y,1)",It is not the case that It is not the case that It is not the case that y is less than 1
"¬Less(y,f(w))",It is not the case that y is less than f(w)
"¬¬(Friend(y,2) ∧ v = f(y))",It is not the case that It is not the case that y is a friend of 2 and v equals f(y)
"((Subset(x,u) ↔ Likes(u,b)) → Professor(z))","If x is a subset of u if and only if u likes b, then z is a professor"
"(Friend(c,b) ↔ ∀x (Even(x) → ∀z Member(2,c)))","C is a friend of b if and only if For every x, if x is even, then For every z, 2 is a member of c"
"(Greater(w,y) ∧ (¬Dog(w) ↔ (Equal(h(h(y)),h(u)) → Dog(h(v)))))","W is greater than y and It is not the case that w is a dog if and only if if h(h(y)) is equal to h(u), then h(v) is a dog"
"∃z (∀w (Mortal(w) → Equal(x,f(y))) ↔ ∀w (Animal(w) → Likes(z,u)))","There exists z, For every w, if w is mortal, then x is equal to f(y) if and only if For every w, if w is an animal, then z likes u"
(((z = x ∧ g(f(y)) = v) ∨ Prime(y)) ∧ (Even(h(y)) → Odd(2))),"Z equals x and g(f(y)) equals v or y is prime and if h(y) is even, then 2 is odd"
"Greater(b,g(u))",B is greater than g(u)
"(Subset(y,a) ∧ Cat(z))",Y is a subset of a and z is a cat
"∃v (Dog(v) ∧ Likes(y,y))",There exists v such that v is a dog and y likes y
"(Subset(v,b) → (∀z Student(x) ↔ (Knows(y,2) → f(v) = f(w))))","If v is a subset of b, then For every z, x is a student if and only if if y knows 2, then f(v) equals f(w)"
∀x (Dog(x) → ∃z ¬Even(w)),"For every x, if x is a dog, then There exists z, It is not the case that w is even"
"(Less(z,z) ∧ (∀u (Professor(u) → Student(0)) ∨ ∀u Member(y,h(z))))","Z is less than z and For every u, if u is a professor, then 0 is a student or For every u, y is a member of h(z)"
"(∃y (Mortal(y) ∧ (Less(2,0) ↔ Less(b,x))) ∨ Odd(f(c)))",There exists y such that y is mortal and 2 is less than 0 if and only if b is less than x or f(c) is odd
"¬((Cat(g(y)) ∨ Cat(u)) ↔ Knows(u,g(b)))",It is not the case that g(y) is a cat or u is a cat if and only if u knows g(b)
∃z (Even(z) ∧ Human(h(y))),There exists z such that z is even and h(y) is a human
"∃w (Greater(y,v) ↔ ∃x Prime(a))","There exists w, y is greater than v if and only if There exists x, a is prime"
"(¬(Human(f(0)) ∨ Mortal(w)) ∨ Likes(w,w))",It is not the case that f(0) is a human or w is mortal or w likes w
(h(v) = y ↔ ∀z w = g(x)),"H(v) equals y if and only if For every z, w equals g(x)"
¬∀v (Dog(v) → ∃v (Dog(v) ∧ Even(f(y)))),"It is not the case that For every v, if v is a dog, then There exists v such that v is a dog and f(y) is even"
"∀v ¬(Knows(u,z) ∧ Loves(w,a))","For every v, It is not the case that u knows z and w loves a"
"Member(0,c)",0 is a member of c
(Even(2) ∧ h(y) = y),2 is even and h(y) equals y
"∃w (Mortal(w) ∧ Loves(g(z),c))",There exists w such that w is mortal and g(z) loves c
"∃v ∃x (Subset(f(u),g(w)) ∨ Friend(0,1))","There exists v, There exists x, f(u) is a subset of g(w) or 0 is a friend of 1"
"¬¬ParentOf(f(u),y)",It is not the case that It is not the case that f(u) is a parent of y
"¬Less(y,u)",It is not the case that y is less than u
(Dog(v) → Animal(w)),"If v is a dog, then w is an animal"
"(∃w ∃u (Odd(u) ∧ Animal(v)) ∧ Member(u,a))","There exists w, There exists u such that u is odd and v is an animal and u is a member of a"
"((Knows(2,b) ∨ ¬u = w) → ∀w (Even(w) → ∀y (Student(y) → Human(y))))","If 2 knows b or It is not the case that u equals w, then For every w, if w is even, then For every y, if y is a student, then y is a human"
"(¬Prime(x) ↔ ¬¬Greater(b,v))",It is not the case that x is prime if and only if It is not the case that It is not the case that b is greater than v
"¬¬∃w (Prime(w) ∧ Greater(u,u))",It is not the case that It is not the case that There exists w such that w is prime and u is greater than u
¬(Human(x) ↔ (Human(a) ∨ Even(h(y)))),It is not the case that x is a human if and only if a is a human or h(y) is even
"¬¬Likes(1,z)",It is not the case that It is not the case that 1 likes z
Human(h(1)),H(1) is a human
(y = h(z) → Human(c)),"If y equals h(z), then c is a human"
